3,0,0,4
6,0,0,6
9,1,1,5
12,1,1,0
15,0,2,3
21,0,2,0
24,0,0,4
27,0,0,2
30,0,0,2
33,0,1,0
36,1,0,0
39,0,0,1
42,3,0,0
45,4,2,1
48,0,0,1
51,1,1,1
54,0,0,3
57,5,2,0
60,2,4,0
63,1,1,1
69,1,1,0
72,0,0,2
81,1,1,0
84,0,0,1
87,1,1,1
90,0,0,1
93,1,0,1
96,3,3,2
99,0,5,1
102,0,0,3
105,0,0,4
108,1,3,0
111,0,0,4
114,0,0,1
117,3,0,0
120,0,0,2
129,1,1,0
132,1,1,0
141,0,1,0
144,0,0,1
147,12,3,0
150,1,0,0
153,3,3,0
156,0,0,1
159,1,0,2
162,0,0,1
165,1,1,0
171,0,0,1
174,0,0,1
177,0,0,1
180,0,0,1
186,1,0,0
189,2,0,0
192,0,0,1
198,5,0,2
201,1,1,0
213,0,0,1
225,0,0,1
330,0,0,1
369,0,0,1
459,0,0,1
624,0,0,1
888,1,1,0
984,0,0,1
1086,0,0,1
1134,0,0,1
1203,0,0,1
1308,0,0,1
1431,0,0,1
1434,0,0,3
1440,0,0,1
1446,0,0,1
1452,0,0,1
1455,0,0,3
1458,0,2,0
1461,0,0,1
1464,0,0,1
1467,4,0,7
1470,0,0,1
1476,2,0,0
1479,0,0,1
1485,0,0,1
1488,0,0,1
1494,0,0,1
1497,0,0,1
1500,0,0,1
1503,0,0,1
1506,0,0,1
1509,0,0,1
1512,0,0,1
1515,0,0,1
1518,0,0,1
1524,0,0,1
1527,0,0,3
1530,0,0,4
1533,9,0,1
1536,0,0,2
1539,0,0,1
1542,0,0,6
1545,0,0,4
1548,0,0,2
1551,0,0,7
1554,0,0,2
1557,0,0,2
1560,0,0,1
1563,0,0,6
1566,0,0,4
1569,0,0,2
1572,0,0,1
1578,1,0,0
1581,1,0,0
1584,0,0,1
1587,0,0,1
1590,0,0,1
1593,1,0,0
1596,1,0,0
1599,1,0,0
1602,1,0,0
1605,0,0,1
1608,5,17,2
1611,2,0,0
1614,0,2,1
1617,0,0,1
1620,0,0,2
1623,0,0,1
1626,0,0,1
1629,7,0,0
1638,1,3,0
1641,0,0,2
1644,2,9,0
1647,2,4,2
1650,0,7,2
1653,0,0,1
1656,1,0,0
1659,1,0,0
1665,2,0,0
1668,2,0,0
1671,0,0,1
1677,0,0,9
1680,0,0,1
1686,4,2,7
1689,0,0,1
1692,11,5,3
1695,0,0,1
1698,0,0,1
1701,1,9,0
1704,0,0,1
1707,1,0,0
1710,5,4,0
1713,3,0,1
1716,1,0,0
1719,0,0,1
1722,0,0,1
1725,0,0,1
1728,0,0,1
1731,1,1,0
1734,0,0,1
1737,1,1,1
1740,0,1,1
1743,6,0,0
1746,1,0,5
1749,0,0,3
1752,0,0,2
1755,1,0,0
1758,6,1,0
1764,2,1,0
1773,0,0,1
1776,1,1,1
1785,1,0,0
1788,14,0,0
1791,3,1,0
1797,0,0,1
1800,0,0,5
1803,5,3,4
1809,0,0,2
1818,0,0,1
1821,0,0,4
1824,0,0,4
1827,0,0,1
1830,0,0,5
1833,0,0,4
1836,0,0,9
1839,2,0,0
1842,3,0,1
1845,5,1,0
1848,0,0,1
1851,1,1,1
1854,12,7,10
1857,2,1,2
1869,1,0,1
1872,3,6,6
1875,0,0,1
1878,0,0,1
1881,0,0,1
1893,1,0,0
1896,0,0,1
1905,0,0,1
1911,0,0,1
1914,1,0,0
1920,2,0,0
1923,0,0,1
1926,0,0,1
1929,0,0,1
1932,1,0,1
1935,0,0,1
1938,0,0,1
1941,0,0,1
1947,0,0,1
1950,0,0,1
1953,0,0,2
1956,0,0,1
1959,0,0,1
1965,0,0,1
1968,0,0,3
1971,0,1,0
1974,0,2,0
1980,0,0,1
1986,0,0,9
1989,0,0,1
1992,0,0,1
1998,3,3,1
2004,3,3,1
2007,0,0,3
2010,0,0,3
2013,1,1,0
2019,1,1,1
2022,1,1,1
2028,17,1,0
2037,0,0,1
2040,0,1,0
2043,0,0,2
2046,3,1,0
2049,4,2,2
2052,0,0,1
2055,1,1,0
2058,0,0,1
2061,0,0,1
2064,1,0,0
2067,0,0,1
2070,1,1,3
2079,0,0,1
2085,0,0,2
2091,0,0,1
2094,0,0,1
2100,0,0,9
2103,0,0,2
2106,0,0,4
2109,0,0,1
2112,0,0,1
2115,0,0,1
2118,0,0,2
2121,0,0,2
2124,0,0,4
2127,0,0,2
2130,0,0,1
2133,0,0,1
2136,0,0,1
2139,0,0,1
2142,0,0,1
2145,0,0,1
2148,0,0,1
2151,0,0,1
2154,0,0,1
2157,0,0,1
2160,0,0,1
2163,0,0,1
2166,0,0,1
2172,1,0,0
2175,0,1,0
2178,3,0,0
2181,0,0,1
2184,0,0,1
2187,7,0,0
2190,0,0,2
2199,0,0,1
2202,0,3,0
2208,3,0,0
2211,0,0,1
2217,0,0,1
2220,3,0,1
2223,1,0,1
2232,0,0,1
2235,0,0,1
2238,4,0,5
2241,0,0,1
2244,0,0,1
2247,0,0,6
2250,0,0,1
2253,0,0,1
2256,3,8,1
2259,9,2,3
2262,0,0,1
2268,0,0,1
2271,2,0,0
2274,0,0,1
2277,0,0,1
2280,0,0,1
2286,0,1,0
2289,0,0,1
2292,0,0,1
2295,0,0,1
2298,0,0,2
2301,0,0,1
2304,0,0,1
2310,0,0,1
2313,0,0,1
2316,3,0,1
2319,4,1,0
2322,3,0,0
2346,0,0,2
2352,0,0,1
2358,1,0,0
2361,1,0,2
2364,0,0,1
2367,3,1,0
2373,1,1,0
2382,0,0,1
2385,0,2,1
2388,0,0,2
2394,0,1,0
2397,0,1,0
2400,0,1,0
2403,0,0,1
2406,1,0,0
2409,2,0,1
2412,1,0,0
2415,0,0,1
2421,0,0,4
2424,0,0,2
2427,0,0,1
2430,0,0,1
2433,0,0,1
2436,4,1,0
2439,0,0,1
2442,4,1,0
2445,0,0,1
2448,0,0,2
2469,0,0,1
2472,0,0,1
2475,0,0,2
2478,0,0,3
2481,0,0,4
2484,0,0,1
2487,0,0,1
2490,0,0,1
2496,0,0,1
2499,0,0,1
2502,0,0,5
2505,0,0,1
2508,6,5,0
2514,1,2,0
2517,0,0,1
2523,0,0,1
2526,0,0,2
2529,0,0,1
2532,0,0,1
2535,0,0,1
2538,3,1,0
2541,1,0,1
2544,0,0,2
2547,0,0,1
2550,1,6,0
2556,8,1,0
2559,0,0,1
2562,0,0,1
2565,4,0,0
2568,0,0,5
2571,1,1,4
2577,0,0,1
2586,0,0,1
2598,1,1,0
2607,0,0,1
2610,0,0,1
2613,0,0,1
2616,0,6,0
2619,1,0,2
2622,0,0,2
2625,0,0,5
2628,0,0,1
