3,53,1,52
6,8,1,7
9,14,1,13
12,28,1,27
15,13,1,12
21,15,1,14
24,57,1,56
27,10,2,8
30,6,2,4
33,9,1,8
36,19,1,18
39,5,2,3
42,7,3,4
45,35,1,34
48,15,1,14
51,13,1,12
54,21,1,20
57,4,1,3
60,13,1,12
63,4,1,3
69,11,2,9
72,11,1,10
81,5,3,2
84,5,1,4
87,4,1,3
90,24,1,23
93,6,1,5
96,13,1,12
99,11,1,10
102,13,2,11
105,9,1,8
108,5,1,4
111,29,3,26
114,6,1,5
117,38,3,35
120,13,1,12
129,9,1,8
132,12,3,9
141,4,2,2
144,9,1,8
147,36,1,35
150,28,2,26
153,26,1,25
156,123,21,102
159,5,1,4
162,6,1,5
165,3,1,2
171,3,1,2
174,11,1,10
177,4,1,3
180,7,1,6
186,3,1,2
189,3,1,2
192,7,1,6
198,7,1,6
201,3,1,2
213,5,3,2
225,4,1,3
330,3,1,2
369,5,1,4
459,11,1,10
624,6,1,5
888,3,1,2
984,7,1,6
1086,7,1,6
1134,7,1,6
1203,5,1,4
1308,3,1,2
1431,3,1,2
1434,26,1,25
1440,5,1,4
1446,5,1,4
1452,3,1,2
1455,5,1,4
1458,25,1,24
1461,6,1,5
1464,28,1,27
1467,26,1,25
1470,11,3,8
1476,5,1,4
1479,7,1,6
1485,52,1,51
1488,54,1,53
1494,3,1,2
1497,54,1,53
1500,30,1,29
1503,15,4,11
1506,24,4,20
1509,19,10,9
1512,13,4,9
1515,13,5,8
1518,4,1,3
1524,43,1,42
1527,19,1,18
1530,21,1,20
1533,11,2,9
1536,14,1,13
1539,10,1,9
1542,30,1,29
1545,25,1,24
1548,18,1,17
1551,43,2,41
1554,18,1,17
1557,14,1,13
1560,10,1,9
1563,30,1,29
1566,23,1,22
1569,19,1,18
1572,5,1,4
1578,43,2,41
1581,13,4,9
1584,12,4,8
1587,12,4,8
1590,14,4,10
1593,13,6,7
1596,13,5,8
1599,12,4,8
1602,4,1,3
1605,51,1,50
1608,55,3,52
1611,31,1,30
1614,15,4,11
1617,5,1,4
1620,15,1,14
1623,19,1,18
1626,14,1,13
1629,14,1,13
1638,14,4,10
1641,40,5,35
1644,32,1,31
1647,16,1,15
1650,27,1,26
1653,11,1,10
1656,4,1,3
1659,34,1,33
1665,19,1,18
1668,18,6,12
1671,11,3,8
1677,12,1,11
1680,30,2,28
1686,37,1,36
1689,14,1,13
1692,23,1,22
1695,8,1,7
1698,15,1,14
1701,32,7,25
1704,5,1,4
1707,9,1,8
1710,28,2,26
1713,7,1,6
1716,42,1,41
1719,37,1,36
1722,15,1,14
1725,15,1,14
1728,11,6,5
1731,31,1,30
1734,22,1,21
1737,20,1,19
1740,32,1,31
1743,38,1,37
1746,25,1,24
1749,32,1,31
1752,21,1,20
1755,16,1,15
1758,11,1,10
1764,25,1,24
