@attribute commentID numeric
@attribute project numeric
@attribute diffSize numeric
@attribute insertStatement numeric
@attribute insertStatementWeight numeric
@attribute deleteStatement numeric
@attribute deleteStatementWeight numeric
@attribute updateStatement numeric
@attribute updateStatementWeight numeric
@attribute parentChange numeric
@attribute parentChangeWeight numeric
@attribute orderingChange numeric
@attribute orderingChangeWeight numeric
@attribute conditionChange numeric
@attribute conditionChangeWeight numeric
@attribute insertAlternative numeric
@attribute insertAlternativeWeight numeric
@attribute deleteAlternative numeric
@attribute deleteAlternativeWeight numeric
@attribute newAllLine numeric
@attribute oldAllLine numeric
@attribute subLine numeric
@attribute changeLine numeric
@attribute changeLineWeight numeric
@attribute firstDiffLocation numeric
@attribute refactor1 numeric
@attribute refactor2 numeric
@attribute tokenChange numeric
@attribute IfStatement_insert numeric
@attribute CatchClause_insert numeric
@attribute TryStatement_insert numeric
@attribute MethodInvocation_insert numeric
@attribute VariableDeclarationStatement_insert numeric
@attribute log_insert numeric
@attribute debug_insert numeric
@attribute IfStatement_update numeric
@attribute MethodInvocation_update numeric
@attribute VariableDeclarationStatement_update numeric
@attribute log_update numeric
@attribute debug_update numeric
@attribute IfStatement_delete numeric
@attribute MethodInvocation_delete numeric
@attribute VariableDeclarationStatement_delete numeric
@attribute log_delete numeric
@attribute debug_delete numeric
@attribute wordSize numeric
@attribute todos numeric
@attribute codeSimilarity numeric
@attribute oldCodeOldCommentSimilarity numeric
@attribute newCodeOldCommentSimilarity numeric
@attribute subSimilarity numeric
@attribute codeAddWords numeric
@attribute codeDeleteWords numeric
@attribute commentLine numeric
@attribute mcommentLine numeric
@attribute ccommentLine numeric
@attribute commentWeight numeric
@attribute mcommentWeight numeric
@attribute ccommentWeight numeric
@attribute refactor_1 numeric
@attribute refactor_2 numeric
@attribute refactor_3 numeric
@attribute refactor_5 numeric
@attribute refactor_6 numeric
@attribute refactor_7 numeric
@attribute refactor_8 numeric
@attribute refactor_9 numeric
@attribute old_diff_comment_sim numeric
@attribute new_diff_comment_sim numeric
@attribute sub_diff_comment_sim numeric
@attribute diff_sim numeric
@attribute old_code_comment_sim numeric
@attribute new_code_comment_sim numeric
@attribute sub_code_comment_sim numeric
@attribute class {0,1}
@data
108,1,4,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,9,3,4,13,3,0,1,1,7,2,2,2,0,0,0,0,0,0,0,0,3,3,0,8,3,3,0,0
114,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,9,7,7,0,3,0,1,1,7,2,2,2,0,0,0,0,0,0,0,0,4,3,0,8,4,3,8,0
120,1,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,10,8,8,0,1,0,1,1,8,1,1,1,0,0,0,0,0,0,0,0,5,3,1,8,4,4,2,0
132,1,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,10,6,6,1,2,2,3,4,8,3,2,1,0,0,0,0,0,0,0,0,4,5,-1,3,4,5,-4,0
141,1,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,4,3,18,2,2,2,4,8,5,2,1,0,0,0,0,0,0,0,0,3,0,3,0,3,2,7,0
144,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,10,7,7,2,2,0,1,3,8,2,2,1,0,0,0,0,0,0,0,0,3,3,0,8,5,5,0,0
159,1,3,1,3,0,0,1,3,1,3,0,0,1,3,0,0,0,0,5,4,1,3,6,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,9,8,8,0,6,0,1,1,7,2,1,1,0,0,0,0,0,0,0,0,7,7,0,8,7,6,10,0
162,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,10,11,11,0,1,0,1,1,7,2,1,1,0,0,0,0,0,0,0,0,6,6,0,9,6,6,3,0
165,1,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,11,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,10,6,6,0,1,0,1,6,8,4,3,1,0,0,0,0,0,0,0,0,4,4,0,9,4,4,0,0
171,1,1,0,0,0,0,1,5,1,5,0,0,0,0,0,0,0,0,2,2,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,10,8,8,0,0,1,1,3,7,4,2,1,0,0,0,0,0,0,0,0,4,5,0,9,4,5,0,0
177,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,3,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,10,6,6,3,1,0,1,7,8,3,2,1,0,0,0,0,0,0,0,0,1,1,0,9,1,1,0,0
180,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,11,7,7,0,0,0,1,3,8,2,2,3,0,0,0,0,0,0,0,0,0,0,0,9,5,5,-1,0
192,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,10,7,7,0,0,2,1,3,8,2,2,4,0,0,0,0,0,0,0,0,3,3,0,8,5,5,-2,0
198,1,6,5,7,0,0,2,3,1,2,0,0,0,0,0,0,0,0,7,6,6,6,9,5,0,0,0,0,0,0,6,1,0,0,0,5,2,0,0,0,0,0,0,0,6,0,9,7,7,0,3,4,1,3,8,2,2,3,0,0,0,0,1,0,0,0,4,4,0,8,5,5,0,0
201,1,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,43,1,0,1,1,7,4,3,3,0,0,0,0,0,0,0,0,3,4,-1,6,3,4,-14,0
213,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,10,3,4,1,1,0,3,3,8,6,3,1,0,0,0,0,0,0,0,0,2,2,0,9,2,2,0,0
984,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,9,7,7,0,2,3,1,3,8,2,2,4,0,0,0,0,0,0,0,0,1,1,0,7,5,5,0,0
1086,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,9,7,7,0,2,3,1,3,8,2,2,4,0,0,0,0,0,0,0,0,1,1,0,7,5,5,0,0
1134,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,9,7,7,0,2,3,1,3,8,2,2,4,0,0,0,0,0,0,0,0,1,1,0,7,5,5,0,0
1434,1,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,8,8,0,3,2,6,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,10,5,5,1,0,1,1,3,8,1,1,2,0,0,0,0,0,0,0,0,5,5,0,9,6,6,0,0
1440,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,11,8,8,0,0,1,1,2,7,2,2,1,0,0,0,0,0,0,0,0,3,3,0,10,3,3,0,0
1446,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,10,4,4,1,1,0,1,4,8,2,4,4,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0
1452,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,11,4,4,0,0,0,1,2,8,4,3,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1455,1,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,4,4,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,10,6,5,16,1,1,1,6,7,2,2,2,0,0,0,0,0,0,0,0,7,5,1,8,4,2,16,0
1470,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,10,7,7,0,1,1,3,5,8,3,3,2,0,0,0,0,0,0,0,0,4,4,0,8,5,5,0,0
1476,1,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,11,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,11,7,7,0,0,0,1,2,8,2,1,1,0,0,0,0,0,0,0,0,0,4,-4,0,4,4,0,0
1479,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,11,4,4,0,0,0,1,1,7,2,1,2,0,0,0,0,0,0,0,0,2,2,0,9,2,2,0,0
1485,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,1,8,10,1,1,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,6,0,10,9,9,0,1,3,1,6,8,1,2,2,0,0,0,0,0,0,0,0,6,6,0,9,6,6,0,0
1488,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,1,8,10,1,1,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,6,0,10,9,9,0,1,3,1,6,8,1,2,2,0,0,0,0,0,0,0,0,6,6,0,9,6,6,0,0
1494,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,4,2,20,1,1,1,1,8,4,3,1,0,0,0,0,0,0,0,0,4,3,1,8,0,0,0,0
1497,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,8,8,2,8,10,1,1,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,6,0,10,9,9,0,0,2,1,6,8,1,2,2,0,0,0,0,0,0,0,0,6,6,0,9,6,6,0,0
1518,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,9,3,6,24,3,0,1,6,8,3,2,3,0,0,0,0,0,0,0,0,0,2,-2,7,0,2,-21,0
1533,1,6,6,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,6,7,8,0,6,0,0,0,3,0,0,6,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,8,6,8,20,7,0,2,6,8,2,4,1,0,0,0,0,0,0,0,0,4,4,0,7,4,5,-4,0
1536,1,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,7,7,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,2,0,1,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,5,5,0,9,0,0,0,0
1539,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,6,6,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,4,4,0,1,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,2,2,0,9,0,0,0,0
1542,1,6,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,8,8,0,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,7,7,0,1,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,6,6,0,9,0,0,0,0
1545,1,4,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,8,8,0,4,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,7,7,0,1,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0
1548,1,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,7,7,0,2,2,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,2,2,0,1,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,0
1551,1,6,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,8,8,0,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,8,8,0,1,0,2,8,8,1,1,3,0,0,0,0,0,0,0,0,6,6,0,9,0,0,0,0
1554,1,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,1,2,6,3,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,5,5,0,8,0,0,0,0
1557,1,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,6,0,3,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0
1560,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6,6,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,3,0,3,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0
1563,1,6,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,8,8,0,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,8,8,0,3,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0
1566,1,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,8,8,0,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,6,3,3,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,6,5,0,8,0,0,0,0
1569,1,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,6,6,0,2,0,1,8,8,1,1,3,0,0,0,0,0,0,0,0,3,2,0,8,0,0,0,0
1572,1,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,10,4,4,0,1,1,1,8,8,2,6,3,0,0,0,0,0,0,0,0,1,1,0,7,1,1,0,0
1578,1,1,1,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,8,8,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,8,8,0,1,0,2,8,8,1,1,3,0,0,0,0,0,0,0,0,0,4,-4,0,0,0,0,0
