1,82
2,100
65539,1243
3,209
4,34
5,211
6,36
65543,1298
7,211
8,34
9,90
10,78
11,211
12,209
13,73
14,47
15,37
16,30
19,106
20,142
21,270
22,301
23,261
24,222
25,51
26,56
27,151
28,145
29,37
30,49
32,57
33,58
34,81
35,686
36,60
37,95
38,100
39,35
40,146
41,49
42,144
43,183
44,51
45,166
46,129
47,106
48,142
65585,1782
49,99
65584,1675
50,118
51,268
52,286
53,88
54,262
65591,105
55,167
56,125
57,120
65592,167
58,68
59,194
60,257
61,108
62,121
65599,390
63,68
65601,156
64,389
65,80
65603,565
67,285
65602,180
68,316
69,335
70,352
71,503
72,45
73,39
74,432
79,142
81,63
82,78
83,84
84,148
85,161
86,46
87,161
88,168
89,58
90,320
91,69
92,145
93,98
94,495
95,565
96,958
97,113
98,958
99,113
100,44
101,54
102,113
103,261
104,283
105,59
106,206
107,100
65642,763
108,117
65645,763
65644,108
65647,108
111,57
65649,457
112,49
113,71
65648,216
114,81
65651,650
115,120
65650,764
116,60
65653,76
117,206
65652,71
65655,168
118,955
119,104
120,304
121,322
122,100
127,129
128,295
129,42
130,57
131,50
132,142
133,60
65668,156
134,44
65670,764
65673,278
140,749
141,229
142,305
144,781
145,229
65680,283
146,100
65683,144
147,168
148,57
149,54
150,221
151,57
152,138
153,49
65688,105
154,171
155,227
65690,109
156,434
65692,105
158,654
65695,186
159,114
160,62
161,232
65696,418
162,79
163,708
165,744
166,46
167,67
169,71
171,129
172,93
173,108
174,264
175,484
176,510
177,607
178,629
180,88
65717,55
181,216
65719,134
65718,294
184,60
185,66
65720,767
186,60
65723,191
187,68
65725,435
189,63
65724,166
65727,103
190,52
191,52
65726,166
192,199
65729,108
193,74
65728,141
194,154
65731,63
65733,47
198,159
65735,194
199,54
65734,118
200,35
65737,300
201,27
65736,53
65739,285
202,77
65738,99
65741,435
205,61
65740,308
206,73
65743,179
65742,66
65745,338
209,60
65744,237
65747,101
211,52
65746,58
212,70
213,292
65755,45
65754,46
65756,131
225,65
65764,127
65767,133
65766,57
65768,163
65774,167
65777,235
65781,161
65797,99
65796,91
65799,79
65798,78
65801,145
65800,515
65803,123
65802,572
65805,158
65804,317
65807,434
65806,221
65813,328
65812,322
65815,443
65814,349
65817,462
65816,458
65819,328
65818,660
65821,443
65823,138
65822,206
65825,98
65824,163
65826,237
65829,874
65828,141
65839,218
65840,306
65842,365
65844,141
65847,48
65846,169
65849,141
65851,243
65852,258
65855,1914
65859,2030
65858,413
65861,133
65860,122
65863,308
65862,208
65865,366
330,61
332,106
337,104
65875,174
65876,79
65879,123
65878,142
65881,117
65880,52
65883,149
65885,135
65884,125
65887,496
65889,518
65901,222
65900,144
65903,214
65902,105
369,60
65904,572
65907,123
65909,168
65908,139
65911,105
65913,404
65912,175
65915,45
65917,356
65916,101
65921,87
65920,109
65923,148
65922,115
65925,341
65927,161
65926,47
392,61
65929,135
65928,48
65930,87
65933,364
65932,148
65935,109
65934,215
65939,352
65941,134
65940,219
65942,373
413,64
65953,92
65955,221
65954,161
65957,488
65956,249
65959,257
65958,225
65960,496
65963,92
65965,161
65966,102
65971,413
65970,407
65973,89
65972,170
65975,139
65974,174
65977,152
65976,40
65979,176
442,60
65981,105
65980,204
65983,290
65982,43
65985,329
65984,313
65987,228
65986,192
65989,373
65988,244
459,71
66001,253
66002,363
66007,281
66006,281
66009,105
66008,404
66011,169
66010,155
66013,1737
66012,883
66015,1298
66014,390
66016,1971
484,63
496,66
66037,125
66036,95
66039,160
66038,136
66041,175
66040,172
66043,184
66044,308
66046,366
66049,89
66048,281
66051,215
66050,174
66053,479
66052,240
66055,47
66054,79
66057,55
66056,118
66059,183
66058,167
66061,304
66060,212
66063,348
66062,310
66065,439
66067,455
66066,451
66069,40
66068,123
66071,52
66070,98
66073,99
66072,91
66074,117
66077,78
66076,149
66079,53
66078,78
