@relation 'lineCommentData-weka.filters.unsupervised.attribute.Remove-R41,45-46,50-57,61,65-66,73,81,85-86,103-106,110-weka.filters.unsupervised.attribute.Remove-R30-34,37,40-43,49-52,56-62,65-68'

@attribute commentID numeric
@attribute project numeric
@attribute diffSize numeric
@attribute insertStatement numeric
@attribute insertStatementWeight numeric
@attribute deleteStatement numeric
@attribute deleteStatementWeight numeric
@attribute updateStatement numeric
@attribute updateStatementWeight numeric
@attribute parentChange numeric
@attribute parentChangeWeight numeric
@attribute orderingChange numeric
@attribute orderingChangeWeight numeric
@attribute conditionChange numeric
@attribute conditionChangeWeight numeric
@attribute insertAlternative numeric
@attribute insertAlternativeWeight numeric
@attribute deleteAlternative numeric
@attribute deleteAlternativeWeight numeric
@attribute newAllLine numeric
@attribute oldAllLine numeric
@attribute subLine numeric
@attribute changeLine numeric
@attribute changeLineWeight numeric
@attribute firstDiffLocation numeric
@attribute refactor1 numeric
@attribute refactor2 numeric
@attribute tokenChange numeric
@attribute IfStatement_insert numeric
@attribute CatchClause_insert numeric
@attribute TryStatement_insert numeric
@attribute MethodInvocation_insert numeric
@attribute VariableDeclarationStatement_insert numeric
@attribute log_insert numeric
@attribute debug_insert numeric
@attribute IfStatement_update numeric
@attribute MethodInvocation_update numeric
@attribute VariableDeclarationStatement_update numeric
@attribute log_update numeric
@attribute debug_update numeric
@attribute IfStatement_delete numeric
@attribute MethodInvocation_delete numeric
@attribute VariableDeclarationStatement_delete numeric
@attribute log_delete numeric
@attribute debug_delete numeric
@attribute wordSize numeric
@attribute todos numeric
@attribute codeSimilarity numeric
@attribute oldCodeOldCommentSimilarity numeric
@attribute newCodeOldCommentSimilarity numeric
@attribute subSimilarity numeric
@attribute codeAddWords numeric
@attribute codeDeleteWords numeric
@attribute commentLine numeric
@attribute mcommentLine numeric
@attribute ccommentLine numeric
@attribute commentWeight numeric
@attribute mcommentWeight numeric
@attribute ccommentWeight numeric
@attribute refactor_1 numeric
@attribute refactor_2 numeric
@attribute refactor_3 numeric
@attribute refactor_5 numeric
@attribute refactor_6 numeric
@attribute refactor_7 numeric
@attribute refactor_8 numeric
@attribute refactor_9 numeric
@attribute old_diff_comment_sim numeric
@attribute new_diff_comment_sim numeric
@attribute sub_diff_comment_sim numeric
@attribute diff_sim numeric
@attribute old_code_comment_sim numeric
@attribute new_code_comment_sim numeric
@attribute sub_code_comment_sim numeric
@attribute class {0,1}

@data
16614,8,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,2,0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,5,5,0,1,1,1,4,7,4,3,2,0,0,0,0,0,0,0,0,5,5,0,8,5,5,0,0
16617,8,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,4,0,1,1,1,3,7,2,3,2,0,0,0,0,0,0,0,0,5,5,0,8,4,4,0,0
16623,8,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,11,7,7,0,0,0,3,3,8,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,4,4,0,0
16638,8,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,7,7,0,6,0,1,7,8,2,3,3,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,1
16644,8,1,1,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,6,5,2,3,5,3,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,6,6,1,3,0,2,4,8,3,1,1,0,0,0,0,0,0,0,0,0,2,-2,0,4,4,1,0
16659,8,6,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,9,7,5,14,0,6,1,7,8,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
16662,8,6,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,7,8,6,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,9,8,7,11,0,6,1,6,8,1,1,2,0,0,0,0,0,0,0,0,4,0,4,0,4,3,4,0
16689,8,6,0,0,6,8,1,1,0,0,0,0,0,0,0,0,0,0,5,7,7,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,1,28,1,7,1,7,8,1,2,2,0,0,0,0,0,0,0,0,2,0,2,5,2,0,21,0
16695,8,6,0,0,6,8,1,2,0,0,0,0,0,0,0,0,0,0,6,7,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,4,0,8,7,6,1,1,6,1,3,8,1,2,2,0,0,0,0,0,0,0,0,3,3,0,6,3,3,-1,0
16725,8,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,2,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,2,2,0,3,0,1,6,8,2,3,4,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-7,0
16728,8,3,1,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,7,6,4,21,3,7,7,7,7,7,6,3,0,0,0,0,0,0,0,0,7,5,1,4,6,5,7,1
16731,8,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,11,5,5,0,0,0,1,1,8,1,1,1,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0
16737,8,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,3,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,8,0,2,0,7,7,8,3,2,2,0,0,0,0,0,0,0,0,0,1,-1,0,7,7,1,0
16746,8,7,2,1,7,6,3,2,3,2,0,0,0,0,0,0,3,2,6,8,8,8,0,5,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3,6,3,0,0,4,0,7,8,6,21,2,7,1,5,7,1,1,1,0,0,0,0,0,0,0,0,5,3,1,6,5,3,19,0
16749,8,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,5,5,0,0,0,3,7,8,4,3,2,0,0,0,0,0,0,0,0,0,8,-8,0,0,0,0,0
16752,8,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,7,8,2,3,2,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0
16758,8,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,7,7,0,0,0,1,8,8,1,2,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0
